time_index,loudness_zwtv_target,loudness_zwtv_pred,sharpness_din_tv_target,sharpness_din_tv_pred,roughness_dw_target,roughness_dw_pred,tnr_ecma_perseg_target,tnr_ecma_perseg_pred,sii_ansi_target,sii_ansi_pred
0,0.0066190157,52.34891,,1.6224355,0.08902689,0.1293111,0.0,0.6350607,0.0,-0.037198897
1,2.9344544,64.8211,,1.9308827,0.07419728,0.13131282,0.0,0.6232301,,
2,8.574955,46.196983,,1.4286033,0.067632824,0.13389574,0.0,0.61624974,,
3,13.092743,54.02913,,1.6804442,0.04139679,0.13214004,0.0,0.64103216,,
4,16.79858,55.51794,,1.7084553,0.064724736,0.12601593,0.0,0.6383784,,
5,20.64333,57.23167,5.274854,1.7435222,0.37378836,0.13195151,0.0,0.62466115,,
6,23.901596,51.95561,4.671092,1.5854758,0.099400945,0.129557,0.0,0.6264228,,
7,26.551237,55.300728,4.235106,1.7047262,0.31155154,0.10764214,0.0,0.62252706,,
8,28.934704,50.005573,3.8265157,1.5587236,0.056475226,0.11818336,0.0,0.6262552,,
9,30.311575,52.083096,3.2645156,1.6182178,0.1153629,0.12996574,0.0,0.6255582,,
10,30.83927,55.546444,3.2722495,1.7257247,0.08513061,0.13285194,,,,
11,32.170704,58.2968,3.5205994,1.7512921,0.062876806,0.12445692,,,,
12,33.97078,55.23365,3.2692125,1.6807852,0.14531973,0.103250936,,,,
13,35.17158,55.877014,3.0724127,1.6873384,0.07186118,0.12396842,,,,
14,35.97407,48.057186,2.9877334,1.4916418,0.070752434,0.12025968,,,,
15,36.35764,50.876797,2.9659238,1.588218,0.10004051,0.123518735,,,,
16,36.52588,67.1618,2.8182008,2.0640461,0.26263666,0.14350773,,,,
17,36.58122,54.43158,2.7659028,1.6699171,0.060313836,0.13737936,,,,
18,36.86899,59.073563,2.7826803,1.7873306,0.054721564,0.1310519,,,,
19,37.367085,53.04565,2.7955015,1.6071349,0.20143424,0.13112842,,,,
20,37.770184,53.018623,2.7280746,1.6480525,0.056985404,0.13493921,,,,
21,38.34737,50.180473,2.6210282,1.5426031,0.07189926,0.13023876,,,,
22,39.33409,53.101444,2.7499607,1.632447,0.05983197,0.12588976,,,,
23,40.398647,50.95122,2.6249888,1.5530401,0.18281643,0.13881254,,,,
24,41.181194,46.83671,2.5648642,1.4601067,0.035666678,0.12183689,,,,
25,41.679573,55.807693,2.5001016,1.7337091,0.15384322,0.1316027,,,,
26,42.03507,52.857723,2.5251582,1.6442746,0.06614956,0.12820789,,,,
27,42.70431,49.75565,2.558565,1.543552,0.045968715,0.11689444,,,,
28,43.546936,48.80882,2.4800992,1.5022978,0.059078157,0.11957418,,,,
29,44.287167,60.26021,2.3995938,1.8239386,0.03712353,0.11902393,,,,
30,44.508324,61.906277,2.3015618,1.8469279,0.14244781,0.13566357,,,,
31,44.79542,48.63386,2.3095195,1.5090517,0.042997766,0.117182,,,,
32,44.923782,57.554302,2.2631347,1.7868369,0.17967136,0.13098156,,,,
33,45.14629,66.95247,2.2691991,2.0604331,0.12028833,0.12243448,,,,
34,45.4901,51.893612,2.2320507,1.5976261,0.05312471,0.11411507,,,,
35,45.438225,56.42553,2.2699783,1.7098426,0.12290015,0.13166636,,,,
36,46.556858,60.60804,2.331564,1.822358,0.07310433,0.11677257,,,,
37,47.123028,52.10329,2.093699,1.6230737,0.051337346,0.1198114,,,,
38,47.070744,50.5684,2.1134496,1.5632164,0.17296083,0.12179992,,,,
39,47.179855,48.76878,2.1593988,1.5053585,0.19304639,0.13819039,,,,
40,47.617085,54.295197,2.340738,1.6471187,0.07605339,0.13073234,,,,
41,48.59334,50.163403,2.2812643,1.551454,0.059976723,0.118452914,,,,
42,49.56447,52.92228,2.17371,1.6469305,0.055932604,0.13646992,,,,
43,50.061512,53.883583,2.088256,1.6704407,0.036935776,0.11671843,,,,
44,50.179417,47.164253,2.0186985,1.4697737,0.2241731,0.12985869,,,,
45,50.24284,52.685658,2.0515137,1.6178749,0.06434792,0.12297561,,,,
46,49.857952,66.04015,1.9425834,1.9848084,0.10064661,0.13268188,,,,
47,49.272125,66.802704,2.0010798,1.9914727,0.056418333,0.12072931,,,,
48,49.77766,67.96285,2.339616,2.1032298,0.056118194,0.11649914,,,,
49,50.32129,67.71177,2.3017879,2.0717096,,,,,,
50,50.603344,54.804123,2.145449,1.68099,,,,,,
51,50.161903,75.88994,2.0448873,2.245403,,,,,,
52,49.672028,62.286297,1.922718,1.8681606,,,,,,
53,48.933464,49.611736,1.8122681,1.5101389,,,,,,
54,48.328,77.46946,1.8054286,2.3928745,,,,,,
55,48.316376,73.84807,1.8007288,2.265093,,,,,,
56,48.20891,58.116528,1.6528624,1.7869352,,,,,,
57,47.861366,62.9215,1.7723091,1.8920722,,,,,,
58,47.98502,71.10218,1.7797623,2.121658,,,,,,
59,48.06632,58.83209,1.7531916,1.7730802,,,,,,
60,48.616787,57.420605,1.862199,1.737756,,,,,,
61,49.63986,49.089622,1.9274127,1.5070463,,,,,,
62,50.573963,49.1159,1.8137665,1.533481,,,,,,
63,50.987442,59.286037,1.8109016,1.8307703,,,,,,
64,51.670547,50.664097,1.7658464,1.5792886,,,,,,
65,52.051975,45.861065,1.7850285,1.4282024,,,,,,
66,51.847412,48.971096,1.8058546,1.511616,,,,,,
67,51.811802,53.496857,1.7743763,1.6707661,,,,,,
68,52.051502,47.853848,1.7795005,1.4751351,,,,,,
69,51.980274,50.339306,1.6471751,1.5372277,,,,,,
70,52.162827,55.24287,1.8230355,1.6861004,,,,,,
71,52.500706,54.045803,1.8136135,1.6559428,,,,,,
72,52.349148,46.744514,1.7483925,1.4598944,,,,,,
73,52.32371,51.712612,1.7874082,1.6071936,,,,,,
74,52.497555,51.132496,1.7533889,1.5676347,,,,,,
75,52.787727,53.55977,1.8123069,1.6382548,,,,,,
76,53.774975,58.30423,1.8471837,1.8112015,,,,,,
77,54.226006,61.613655,1.7145138,1.9093012,,,,,,
78,54.45846,49.23393,1.7818892,1.5243227,,,,,,
79,54.75022,56.28302,1.8421202,1.7106528,,,,,,
80,54.688896,53.43475,1.7534046,1.6228511,,,,,,
81,54.44271,54.444878,1.6622564,1.647586,,,,,,
82,53.75928,44.47044,1.6521496,1.3866357,,,,,,
83,53.84217,53.988235,1.7851331,1.6838354,,,,,,
84,54.414482,59.575607,1.7905385,1.8459885,,,,,,
85,54.62024,53.34651,1.7095504,1.655782,,,,,,
86,54.246677,55.576427,1.5604485,1.6961648,,,,,,
87,54.2651,65.35546,1.8123068,1.9559662,,,,,,
88,55.12096,58.950912,1.8509667,1.7793674,,,,,,
89,55.128426,44.062374,1.65939,1.366423,,,,,,
90,54.90389,45.47794,1.7195499,1.4206,,,,,,
91,55.141697,48.44306,1.7504753,1.4960209,,,,,,
92,54.93314,48.796364,1.6807866,1.5022972,,,,,,
93,54.46069,61.19635,1.7130246,1.8938583,,,,,,
94,54.415337,63.985638,1.7548349,1.978659,,,,,,
95,54.354965,54.04402,1.7041861,1.6667216,,,,,,
96,54.915386,51.09154,1.7734913,1.5804554,,,,,,
97,55.19411,66.728935,1.6896658,1.9967616,,,,,,
98,55.44373,57.225555,1.7775279,1.7220849,,,,,,
99,55.149197,53.358704,1.6490402,1.6220229,,,,,,
100,54.482533,45.57796,1.7158315,1.4098412,,,,,,
101,54.734035,57.66539,1.7685237,1.7973223,,,,,,
102,54.80114,62.25814,1.7144461,1.9214792,,,,,,
103,54.235172,47.452427,1.8616695,1.4730713,,,,,,
104,54.55589,58.11532,2.1417704,1.7508676,,,,,,
105,55.23098,52.03646,2.2002656,1.5837537,,,,,,
106,55.564125,46.394466,2.0673964,1.4395937,,,,,,
107,55.606724,48.394947,2.1283593,1.5101362,,,,,,
108,55.593704,51.678505,1.9590895,1.5795872,,,,,,
109,55.060223,53.436382,2.0815837,1.6257623,,,,,,
110,55.380455,49.60171,2.091995,1.5330387,,,,,,
111,56.082943,60.93113,2.2046318,1.889437,,,,,,
112,56.787197,57.6437,2.138926,1.7827132,,,,,,
113,56.685013,50.238567,2.0093138,1.5512922,,,,,,
114,56.39322,59.490196,2.1247373,1.7923669,,,,,,
115,56.57663,54.79074,2.0705843,1.6562065,,,,,,
116,56.078938,47.993496,2.0363023,1.4729277,,,,,,
117,56.24302,48.40273,2.17459,1.491152,,,,,,
118,56.335434,50.05453,2.1708639,1.5607135,,,,,,
119,56.904587,62.087173,2.2406142,1.9194983,,,,,,
120,57.199852,48.544453,2.253711,1.4909608,,,,,,
121,57.77564,56.3687,2.3571157,1.7145314,,,,,,
122,58.324284,57.220867,2.3274963,1.7297442,,,,,,
123,57.869343,48.194828,2.2873209,1.4890679,,,,,,
124,57.517593,48.998604,2.250436,1.5301259,,,,,,
125,57.052284,49.510662,2.2250073,1.5291156,,,,,,
126,56.69451,57.628624,2.2267778,1.7454748,,,,,,
127,57.02061,49.85803,2.2750597,1.5400511,,,,,,
128,57.395958,51.93346,2.158981,1.6159755,,,,,,
129,57.95935,56.195507,2.2676063,1.7362856,,,,,,
130,58.44524,50.36571,2.1920125,1.5612763,,,,,,
131,58.74764,58.41517,2.2742229,1.7716982,,,,,,
132,59.011974,54.687492,2.1755433,1.6549394,,,,,,
133,59.27599,50.6594,2.1044273,1.5496385,,,,,,
134,59.70006,55.471764,2.1573465,1.6937501,,,,,,
135,59.84078,55.144417,2.1306083,1.6768208,,,,,,
136,59.562286,70.12652,2.1585522,2.1715553,,,,,,
137,60.229225,74.176384,2.3971717,2.2646537,,,,,,
138,60.374813,63.094997,2.065508,1.9025959,,,,,,
139,59.198784,70.14272,1.9450033,2.0933316,,,,,,
140,58.25602,61.936592,1.9218975,1.8592515,,,,,,
141,57.66029,47.91878,1.858228,1.4876969,,,,,,
142,56.764576,76.35603,2.00827,2.352554,,,,,,
143,56.286488,69.75539,2.025671,2.1380763,,,,,,
144,55.927692,55.700783,1.8053435,1.7223947,,,,,,
145,55.364185,46.800377,1.8516556,1.4501072,,,,,,
146,56.00083,69.089455,1.9967223,2.0670276,,,,,,
147,56.29551,57.82844,1.8964252,1.7486777,,,,,,
148,56.29011,65.40332,1.8353267,1.9531066,,,,,,
149,56.269447,50.522083,1.7620913,1.5483578,,,,,,
150,56.45682,49.487865,1.8902599,1.5298923,,,,,,
151,57.425774,68.834694,1.9761266,2.1232479,,,,,,
152,57.956284,61.200836,1.8511465,1.8968475,,,,,,
153,57.994522,63.513268,1.8896728,1.9467357,,,,,,
154,58.865364,49.11587,1.9244946,1.5070608,,,,,,
155,59.518425,57.97284,1.9020694,1.7467167,,,,,,
156,59.338234,51.02714,1.9215902,1.5661461,,,,,,
