time_index,loudness_zwtv_target,loudness_zwtv_pred,sharpness_din_tv_target,sharpness_din_tv_pred,roughness_dw_target,roughness_dw_pred,tnr_ecma_perseg_target,tnr_ecma_perseg_pred,sii_ansi_target,sii_ansi_pred
0,0.0033890775,0.013855879,,-0.07023909,0.012618146,0.087822005,0.0,6.107525,0.0,0.32565033
1,1.4280682,0.62269706,,1.7937688,0.01787645,0.08937389,0.0,4.2941837,,
2,4.572103,1.8486435,,1.5757701,0.040521234,0.08927329,,,,
3,7.914953,2.9449277,,1.1920753,0.10448214,0.08983725,,,,
4,10.645561,3.7825093,,0.9969222,0.069352694,0.09173828,,,,
5,12.330976,4.4141073,4.5039864,2.841503,0.09611591,0.09202225,,,,
6,13.541121,4.8983793,4.557047,2.5460238,0.10171082,0.08933683,,,,
7,15.123404,5.279549,4.213525,2.3547535,0.08051557,0.09188837,,,,
8,16.124947,5.589218,3.7043617,2.2239833,0.020820536,0.0891152,,,,
9,16.573915,5.8495984,3.6736543,2.1280508,,,,,,
10,17.201982,6.0737205,3.539948,2.047486,,,,,,
11,17.92492,6.2702503,3.5668542,1.9836228,,,,,,
12,18.1778,6.446123,3.227779,1.9310057,,,,,,
13,18.378428,6.606068,3.2392707,1.881862,,,,,,
14,18.78141,6.753881,3.3095005,1.8371981,,,,,,
15,19.47291,6.891819,3.1890142,1.7981826,,,,,,
16,19.841003,7.0213933,2.997978,1.7622508,,,,,,
17,19.833628,7.1443343,3.0460348,1.730153,,,,,,
18,20.017004,7.2618656,3.0579288,1.6988087,,,,,,
19,19.932905,7.3741918,2.7280369,1.6710722,,,,,,
20,20.098103,7.4817996,2.971279,1.6439869,,,,,,
21,20.795517,7.5847864,2.848842,1.6243455,,,,,,
22,20.89521,7.684334,2.6557803,1.6021577,,,,,,
23,21.175108,7.7807093,2.7592506,1.5786182,,,,,,
24,21.637018,7.873508,2.8424118,1.5598316,,,,,,
25,22.116772,7.9634604,2.7657318,1.5427642,,,,,,
26,22.498014,8.05103,2.7229128,1.5250694,,,,,,
27,22.71053,8.137046,2.704388,1.5099323,,,,,,
28,23.087088,8.221033,2.5758302,1.4963484,,,,,,
29,23.115623,8.303282,2.4615343,1.4820155,,,,,,
30,23.419027,8.383704,2.670495,1.4674276,,,,,,
31,24.384018,8.461901,2.8608346,1.450783,,,,,,
32,24.965387,8.536811,2.6464102,1.4377137,,,,,,
33,24.985456,8.609807,2.4693666,1.4231435,,,,,,
34,24.621202,8.6817665,2.3061204,1.4134786,,,,,,
35,24.158844,8.75263,2.2572176,1.4012713,,,,,,
36,24.170675,8.821215,2.368868,1.3900409,,,,,,
37,24.603996,8.886678,2.3869207,1.3759857,,,,,,
38,25.007166,8.949482,2.5394084,1.3637261,,,,,,
39,25.386354,9.008795,2.436488,1.3538074,,,,,,
40,25.42567,9.066024,2.3126504,1.3464984,,,,,,
41,25.61956,9.122362,2.2751555,1.3370539,,,,,,
42,25.748917,9.177734,2.2998447,1.3292284,,,,,,
43,25.96378,9.23232,2.29286,1.3207504,,,,,,
44,25.765812,9.2854185,2.197339,1.3133484,,,,,,
45,25.244732,9.336758,2.1907983,1.3066173,,,,,,
46,25.246483,9.386881,2.3705826,1.3007525,,,,,,
47,25.580717,9.435479,2.3521867,1.2942435,,,,,,
48,25.749186,9.482728,2.2467072,1.2871587,,,,,,
49,26.057829,9.529059,2.3154504,1.2827706,,,,,,
50,26.51019,9.575203,2.2961755,1.2786168,,,,,,
51,26.642097,9.620796,2.2427247,1.2761918,,,,,,
52,26.914877,9.66503,2.2363176,1.2689314,,,,,,
53,27.021852,9.707543,2.116295,1.2640834,,,,,,
54,27.08898,9.748621,2.119246,1.2591532,,,,,,
55,27.497475,9.788139,2.2242727,1.2516803,,,,,,
56,27.91822,9.826645,2.0593235,1.2469667,,,,,,
57,28.07876,9.864315,2.194075,1.2436538,,,,,,
58,28.294674,9.90062,2.118761,1.2365793,,,,,,
59,28.25771,9.935161,2.0134423,1.2305443,,,,,,
60,27.909334,9.968952,1.9768984,1.2287313,,,,,,
61,27.737488,10.002861,2.0877147,1.2239373,,,,,,
62,27.967787,10.03592,2.2040908,1.2192674,,,,,,
63,28.584972,10.06772,2.1953015,1.2146384,,,,,,
64,28.652775,10.098501,2.0731578,1.2118654,,,,,,
65,28.594526,10.128519,2.0886774,1.2121172,,,,,,
66,28.66631,10.15726,2.2088075,1.2081447,,,,,,
