time_index,loudness_zwtv_target,loudness_zwtv_pred,sharpness_din_tv_target,sharpness_din_tv_pred,roughness_dw_target,roughness_dw_pred,tnr_ecma_perseg_target,tnr_ecma_perseg_pred,sii_ansi_target,sii_ansi_pred
0,0.0013025845,0.0063337404,,,0.009872965,0.104274355,0.0,6.0873795,0.111551516,0.115772516
1,0.5712507,0.614512,,,0.009067199,0.105839945,0.0,4.2739697,,
2,1.7064786,1.8400469,,,0.00815071,0.10574184,,,,
3,2.7816463,2.9368098,,,0.007021252,0.10628982,,,,
4,3.6485622,3.7744117,,,0.011032953,0.10823271,,,,
5,4.363525,4.4055514,2.6188989,2.755303,0.009842581,0.108519435,,,,
6,4.923622,4.890205,2.3019783,2.4599426,0.0065939534,0.105813995,,,,
7,5.3655276,5.2714534,2.0701656,2.2686527,0.004960553,0.10837389,,,,
8,5.7283583,5.58081,1.9788284,2.1377993,0.006725474,0.10562568,,,,
9,6.0276437,5.841234,1.937543,2.0419483,,,,,,
10,6.2954187,6.0656195,1.8398494,1.9614103,,,,,,
11,6.532267,6.2620664,1.7836686,1.8974578,,,,,,
12,6.726134,6.437549,1.7737174,1.8448876,,,,,,
13,6.911236,6.597916,1.7274566,1.7957966,,,,,,
14,7.0633492,6.745809,1.6437303,1.7510961,,,,,,
15,7.1761155,6.8832054,1.665331,1.7120004,,,,,,
16,7.3034687,7.013196,1.5926114,1.6761242,,,,,,
17,7.4215713,7.1362906,1.5641017,1.6440774,,,,,,
18,7.5324755,7.2533035,1.6267487,1.6126224,,,,,,
19,7.655691,7.3659306,1.5812721,1.5849874,,,,,,
20,7.7722034,7.4737663,1.508343,1.5578882,,,,,,
21,7.8405204,7.576355,1.475862,1.5381591,,,,,,
22,7.916398,7.675976,1.4632329,1.5160043,,,,,,
23,7.9886813,7.77263,1.4313853,1.492552,,,,,,
24,8.077761,7.865235,1.4708381,1.4736552,,,,,,
25,8.179128,7.955004,1.4200398,1.4566194,,,,,,
26,8.247504,8.042901,1.3430592,1.4389724,,,,,,
27,8.308539,8.128887,1.3858427,1.4237834,,,,,,
28,8.409744,8.212462,1.4499421,1.4101429,,,,,,
29,8.492433,8.295137,1.3845645,1.3959305,,,,,,
30,8.577609,8.375639,1.3815706,1.3813083,,,,,,
31,8.646943,8.453359,1.3576871,1.3645658,,,,,,
32,8.6978035,8.52862,1.2877668,1.3515869,,,,,,
33,8.76437,8.601779,1.290591,1.3370583,,,,,,
34,8.85728,8.673255,1.3706383,1.3272777,,,,,,
35,8.940838,8.744374,1.3489164,1.3151917,,,,,,
36,9.013952,8.813123,1.3088269,1.3039174,,,,,,
37,9.0430155,8.878289,1.2743758,1.2897872,,,,,,
38,9.030106,8.94108,1.2411891,1.2776085,,,,,,
39,9.079957,9.000703,1.2779438,1.2677181,,,,,,
40,9.144611,9.05778,1.2805841,1.2603221,,,,,,
41,9.151803,9.11385,1.2186131,1.2509265,,,,,,
42,9.187785,9.169565,1.2234621,1.2431103,,,,,,
43,9.227421,9.224172,1.201077,1.2346153,,,,,,
44,9.226889,9.276796,1.2181265,1.2271855,,,,,,
45,9.283027,9.3286,1.2526556,1.2205,,,,,,
46,9.356455,9.378822,1.2383144,1.2146345,,,,,,
47,9.378477,9.426879,1.2267908,1.2080469,,,,,,
48,9.439261,9.474512,1.2267528,1.2010108,,,,,,
49,9.476701,9.520991,1.1841327,1.1966888,,,,,,
50,9.476121,9.56667,1.209012,1.1924245,,,,,,
51,9.537194,9.612518,1.2145995,1.1900822,,,,,,
52,9.57599,9.656976,1.1498922,1.1828121,,,,,,
53,9.575841,9.699109,1.1615342,1.1778934,,,,,,
54,9.616538,9.740265,1.1599258,1.172985,,,,,,
55,9.6314745,9.780028,1.1073213,1.1655842,,,,,,
56,9.642951,9.818308,1.1504108,1.1608014,,,,,,
57,9.683591,9.855851,1.174663,1.157505,,,,,,
58,9.6977625,9.892506,1.167938,1.1504884,,,,,,
59,9.721246,9.9269285,1.1976289,1.1443819,,,,,,
60,9.765452,9.960421,1.1957022,1.1425442,,,,,,
61,9.769822,9.99468,1.105125,1.1378388,,,,,,
62,9.759667,10.027768,1.1159923,1.1331522,,,,,,
63,9.793034,10.0591345,1.1612054,1.1284454,,,,,,
64,9.821657,10.090345,1.1933011,1.1257613,,,,,,
65,9.8667145,10.120421,1.204781,1.1260078,,,,,,
66,9.920242,10.148718,1.2567381,1.1219193,,,,,,
67,9.939758,10.176072,1.1869098,1.1135645,,,,,,
68,9.990807,10.201422,1.169154,1.1096767,,,,,,
69,10.032943,10.225542,1.166851,1.1046349,,,,,,
70,10.053586,10.24977,1.1824208,1.1019158,,,,,,
71,10.130362,10.273064,1.1958278,1.1004392,,,,,,
72,10.178881,10.295664,1.1610506,1.097521,,,,,,
73,10.180318,10.317633,1.1270015,1.0933435,,,,,,
74,10.226756,10.339695,1.1286823,1.0897006,,,,,,
75,10.283906,10.360757,1.153773,1.0894685,,,,,,
76,10.330279,10.38057,1.1914556,1.0862654,,,,,,
77,10.364725,10.401333,1.10859,1.0826981,,,,,,
78,10.361329,10.420996,1.0822631,1.0803859,,,,,,
79,10.369117,10.438681,1.1435944,1.0780934,,,,,,
80,10.40842,10.456432,1.1214777,1.0746577,,,,,,
81,10.427543,10.473922,1.1089942,1.0725204,,,,,,
82,10.449927,10.491254,1.1504343,1.071426,,,,,,
83,10.46617,10.508505,1.1425185,1.0684336,,,,,,
84,10.469246,10.525152,1.0903784,1.06806,,,,,,
85,10.462982,10.540962,1.0901355,1.0651292,,,,,,
86,10.446513,10.556567,1.059766,1.0666089,,,,,,
87,10.451116,10.573058,1.1115913,1.0636795,,,,,,
88,10.499219,10.588958,1.1281339,1.0621281,,,,,,
89,10.50461,10.60367,1.0679181,1.058919,,,,,,
90,10.487824,10.619051,1.0607849,1.0577332,,,,,,
91,10.504674,10.634145,1.0583291,1.0553904,,,,,,
92,10.508292,10.647564,1.0432497,1.0524713,,,,,,
93,10.504174,10.660995,1.0829067,1.0517758,,,,,,
94,10.535029,10.674574,1.0665158,1.0544972,,,,,,
95,10.543224,10.687313,1.0479529,1.0491016,,,,,,
96,10.528924,10.699539,1.063568,1.0500829,,,,,,
97,10.573719,10.710527,1.0915165,1.04665,,,,,,
98,10.599963,10.72048,1.0897505,1.0455179,,,,,,
99,10.59434,10.729761,1.1162041,1.0473458,,,,,,
100,10.617955,10.740029,1.1042491,1.0421154,,,,,,
101,10.618128,10.74994,1.0596865,1.0419801,,,,,,
102,10.610769,10.759225,1.1057467,1.039781,,,,,,
103,10.640831,10.7687025,1.1353531,1.0368857,,,,,,
104,10.656599,10.778343,1.1158367,1.0373617,,,,,,
105,10.676003,10.787479,1.1268677,1.0375837,,,,,,
106,10.7041235,10.796692,1.0866634,1.0381117,,,,,,
107,10.700506,10.806561,1.0480069,1.0370886,,,,,,
108,10.731628,10.8149805,1.1095486,1.0333763,,,,,,
109,10.793191,10.8226385,1.2017657,1.0347203,,,,,,
110,10.816751,10.83091,1.1382107,1.0307583,,,,,,
111,10.838295,10.839005,1.1072412,1.0304143,,,,,,
112,10.850075,10.846631,1.1177213,1.0288247,,,,,,
113,10.83008,10.855335,1.0875502,1.0309907,,,,,,
114,10.840424,10.864169,1.0676558,1.0297406,,,,,,
115,10.845693,10.872733,1.0552444,1.030248,,,,,,
116,10.833751,10.881774,1.0979111,1.0294735,,,,,,
117,10.886168,10.8903475,1.0823325,1.0294607,,,,,,
118,10.911533,10.897513,1.0493459,1.029222,,,,,,
119,10.894621,10.9045515,1.0503914,1.0292904,,,,,,
120,10.920715,10.912509,1.0492947,1.0284116,,,,,,
121,10.928119,10.920084,1.025963,1.0263464,,,,,,
122,10.921804,10.926899,1.076884,1.0261794,,,,,,
123,10.9695015,10.933873,1.0561274,1.0269026,,,,,,
124,10.979087,10.939744,1.0290177,1.0246859,,,,,,
125,10.940371,10.94535,1.0231228,1.0231578,,,,,,
126,10.942428,10.951806,1.0643276,1.0228528,,,,,,
127,10.95337,10.957474,1.0447345,1.0207081,,,,,,
128,10.961216,10.961987,1.0692043,1.0198097,,,,,,
129,10.997866,10.967077,1.1739664,1.0198308,,,,,,
130,11.036552,10.971797,1.1468452,1.0184696,,,,,,
131,11.033351,10.976348,1.1050162,1.0188653,,,,,,
132,11.011061,10.980946,1.0759155,1.0192399,,,,,,
133,10.996627,10.985513,1.0607172,1.0188444,,,,,,
134,11.006536,10.990054,1.0758091,1.0196588,,,,,,
135,11.00004,10.994009,1.0436438,1.0210837,,,,,,
136,10.977762,10.998334,1.0352706,1.0203359,,,,,,
137,10.981116,11.002467,1.041914,1.0200543,,,,,,
138,10.996534,11.005764,1.0892315,1.0175785,,,,,,
139,10.990325,11.010869,1.0554194,1.0197299,,,,,,
140,10.983803,11.016539,1.0297637,1.0211973,,,,,,
141,10.97306,11.020538,1.0310345,1.0199357,,,,,,
142,10.951756,11.025541,1.0506319,1.0171771,,,,,,
143,10.9954195,11.03071,1.1033634,1.0197482,,,,,,
144,11.028063,11.03566,1.10016,1.0185786,,,,,,
145,10.997664,11.040606,1.0715199,1.0177947,,,,,,
146,10.994412,11.045772,1.0502692,1.0178487,,,,,,
147,10.980502,11.05013,1.0203964,1.0188403,,,,,,
148,10.9383,11.054108,1.0539821,1.0182112,,,,,,
149,10.920987,11.058341,1.0387708,1.0175176,,,,,,
150,10.907948,11.061193,1.0308198,1.0164422,,,,,,
151,10.884798,11.062471,1.0864639,1.0151219,,,,,,
152,10.912771,11.064334,1.083537,1.0150073,,,,,,
153,10.90078,11.066728,1.0310003,1.016062,,,,,,
154,10.8676605,11.069539,1.0702927,1.0173348,,,,,,
155,10.898581,11.073943,1.135774,1.0192653,,,,,,
156,10.901157,11.077854,1.0852002,1.0166037,,,,,,
157,10.888384,11.080844,1.0982406,1.0143783,,,,,,
158,10.880784,11.082697,1.0331107,1.0121528,,,,,,
159,10.837973,11.085173,0.9863608,1.0129788,,,,,,
160,10.82069,11.08781,1.0193709,1.0141737,,,,,,
161,10.828305,11.091211,1.0486909,1.0175878,,,,,,
162,10.819178,11.095137,1.0526484,1.0164211,,,,,,
163,10.849519,11.098859,1.0907857,1.01829,,,,,,
164,10.85483,11.102693,1.0470244,1.015919,,,,,,
165,10.839588,11.106858,1.0928618,1.01883,,,,,,
166,10.904515,11.111139,1.1290762,1.0194676,,,,,,
167,10.948018,11.1146,1.140901,1.0199723,,,,,,
168,10.915546,11.118471,1.0802132,1.0177958,,,,,,
169,10.91133,11.121438,1.0785741,1.015602,,,,,,
170,10.934094,11.123209,1.1057895,1.0157719,,,,,,
171,10.94172,11.12518,1.1209307,1.0182152,,,,,,
172,10.972266,11.128007,1.09008,1.0166805,,,,,,
173,10.981788,11.130764,1.0561621,1.0181527,,,,,,
174,10.96536,11.133931,1.0725243,1.0163314,,,,,,
175,10.954357,11.13785,1.0684246,1.0157038,,,,,,
176,10.935694,11.140801,1.0525874,1.0144372,,,,,,
177,10.926604,11.14247,1.0941572,1.0140663,,,,,,
178,10.932965,11.144283,1.0523493,1.0147969,,,,,,
179,10.920353,11.145716,1.0438542,1.0132297,,,,,,
180,10.9050045,11.146526,1.0665039,1.0144306,,,,,,
181,10.886757,11.148874,1.0513477,1.0128663,,,,,,
182,10.859343,11.151017,1.0441345,1.0115831,,,,,,
183,10.861349,11.1528425,1.0802816,1.0111829,,,,,,
184,10.888045,11.1547365,1.1094326,1.0118866,,,,,,
185,10.897386,11.15678,1.0740855,1.0126345,,,,,,
186,10.921758,11.15904,1.074623,1.0123556,,,,,,
187,10.940455,11.161445,1.0777067,1.014816,,,,,,
188,10.921398,11.165267,1.0466318,1.0161216,,,,,,
189,10.924417,11.168981,1.0466602,1.0134263,,,,,,
190,10.944917,11.1718025,1.0987577,1.013648,,,,,,
191,10.9577055,11.174562,1.0996643,1.01525,,,,,,
192,10.987488,11.176837,1.0723133,1.0136654,,,,,,
193,10.993193,11.17835,1.0605623,1.0156598,,,,,,
194,10.982428,11.180342,1.0463961,1.0155178,,,,,,
195,10.993404,11.183023,1.0349741,1.0160729,,,,,,
196,11.014434,11.184913,1.0644047,1.0144181,,,,,,
197,11.048997,11.18589,1.1759382,1.0131631,,,,,,
198,11.088627,11.188049,1.1115286,1.0129642,,,,,,
199,11.102295,11.189991,1.0626849,1.0143626,,,,,,
200,11.09399,11.191431,1.0669273,1.014352,,,,,,
201,11.089386,11.193698,1.0321145,1.0171527,,,,,,
202,11.076853,11.195526,1.0254787,1.0154449,,,,,,
203,11.076549,11.197177,1.0597535,1.0152743,,,,,,
204,11.107053,11.199298,1.128908,1.0141333,,,,,,
205,11.146048,11.202154,1.1265463,1.0135845,,,,,,
206,11.181818,11.204289,1.142684,1.014177,,,,,,
207,11.18139,11.206859,1.1127917,1.0129771,,,,,,
208,11.194402,11.210212,1.1016802,1.0119473,,,,,,
209,11.21705,11.213128,1.0825828,1.013151,,,,,,
210,11.197243,11.215266,1.0689081,1.0133711,,,,,,
211,11.193732,11.218589,1.066454,1.0158899,,,,,,
212,11.204801,11.220994,1.0616578,1.0146555,,,,,,
213,11.203312,11.222732,1.0816457,1.0125885,,,,,,
214,11.19554,11.22485,1.0479674,1.0142173,,,,,,
215,11.201366,11.22629,1.0279301,1.0145742,,,,,,
216,11.192906,11.226916,1.0218222,1.0140176,,,,,,
217,11.174656,11.227682,1.027048,1.0136609,,,,,,
218,11.194505,11.228847,1.0707079,1.0144252,,,,,,
219,11.23919,11.229965,1.0963931,1.0137832,,,,,,
220,11.260344,11.231204,1.1155846,1.0173712,,,,,,
221,11.28255,11.233959,1.0686153,1.0161273,,,,,,
222,11.285428,11.235675,1.0652834,1.0145206,,,,,,
223,11.3241625,11.235979,1.1911292,1.0131813,,,,,,
224,11.356313,11.236671,1.1556015,1.0109361,,,,,,
225,11.407774,11.236897,1.1411967,1.012636,,,,,,
226,11.423751,11.236958,1.103099,1.0125773,,,,,,
227,11.3907585,11.237778,1.048745,1.0137677,,,,,,
228,11.370145,11.238711,1.0646619,1.012827,,,,,,
229,11.383043,11.239567,1.1236823,1.0147026,,,,,,
230,11.378065,11.240789,1.123611,1.0124083,,,,,,
231,11.368647,11.241436,1.0800093,1.0112264,,,,,,
232,11.359056,11.24161,1.0740842,1.0113945,,,,,,
233,11.347615,11.241428,1.0718596,1.0131421,,,,,,
234,11.334307,11.242805,1.0471096,1.0143449,,,,,,
235,11.331863,11.2443,1.0597409,1.0157838,,,,,,
236,11.356467,11.244937,1.1584655,1.0156256,,,,,,
237,11.368173,11.245502,1.0887724,1.014722,,,,,,
238,11.368614,11.245097,1.0530987,1.0133134,,,,,,
239,11.34605,11.24379,1.0466768,1.0109882,,,,,,
240,11.333189,11.243355,1.0966878,1.0092676,,,,,,
241,11.346973,11.243417,1.077726,1.0107683,,,,,,
242,11.361313,11.243728,1.1044011,1.0112269,,,,,,
243,11.387153,11.243985,1.1510046,1.0107151,,,,,,
244,11.41263,11.244409,1.101697,1.0127826,,,,,,
245,11.409567,11.244562,1.0877064,1.0138674,,,,,,
246,11.369841,11.244582,1.0533403,1.010649,,,,,,
247,11.348281,11.244922,1.0985425,1.0106229,,,,,,
248,11.35098,11.244911,1.0997095,1.01286,,,,,,
249,11.329412,11.244745,1.1004556,1.0135316,,,,,,
250,11.315671,11.244574,1.059379,1.0149062,,,,,,
251,11.3076105,11.243695,1.046335,1.0119197,,,,,,
252,11.295972,11.242396,1.0883615,1.013669,,,,,,
253,11.287542,11.242908,1.0877299,1.0141014,,,,,,
254,11.290224,11.244922,1.0476713,1.0128798,,,,,,
255,11.274387,11.247006,1.0476731,1.015556,,,,,,
256,11.28192,11.24989,1.1634293,1.0177492,,,,,,
257,11.322391,11.253011,1.141474,1.0186799,,,,,,
258,11.347193,11.255003,1.1424141,1.0156617,,,,,,
259,11.32425,11.25626,1.0682346,1.0152698,,,,,,
260,11.297789,11.257982,1.046181,1.0145069,,,,,,
261,11.287325,11.259128,1.0572476,1.0138568,,,,,,
262,11.279226,11.259448,1.0857257,1.0133239,,,,,,
263,11.282096,11.260494,1.0928612,1.0124484,,,,,,
264,11.303063,11.261571,1.0831715,1.0114187,,,,,,
265,11.29131,11.262832,1.0637989,1.011085,,,,,,
266,11.261486,11.264442,1.0671895,1.0116397,,,,,,
267,11.264936,11.264975,1.0721242,1.0117364,,,,,,
268,11.278044,11.265172,1.1036855,1.0124662,,,,,,
269,11.290946,11.265812,1.1274989,1.0110584,,,,,,
270,11.296953,11.266794,1.0566899,1.0129015,,,,,,
271,11.271143,11.267422,1.0418081,1.0118458,,,,,,
272,11.25138,11.268145,1.0666529,1.0138206,,,,,,
273,11.252702,11.269817,1.0566665,1.0133681,,,,,,
274,11.270745,11.270885,1.0639364,1.0115029,,,,,,
275,11.273531,11.271941,1.0420153,1.0106082,,,,,,
276,11.261995,11.273894,1.010735,1.0098035,,,,,,
277,11.259445,11.275688,1.022126,1.0107099,,,,,,
278,11.253925,11.276403,1.0326073,1.0102048,,,,,,
279,11.250895,11.277757,0.99917066,1.0111586,,,,,,
280,11.238776,11.279426,0.9847947,1.0097337,,,,,,
281,11.223858,11.280556,1.0123183,1.0105764,,,,,,
282,11.235668,11.281513,1.0501498,1.0110258,,,,,,
283,11.26013,11.282587,1.02583,1.0106423,,,,,,
284,11.263197,11.283838,1.0424216,1.0100238,,,,,,
285,11.259744,11.284304,1.0391828,1.0081809,,,,,,
286,11.283199,11.284712,1.0399373,1.0080279,,,,,,
287,11.319864,11.28502,1.0625848,1.0079365,,,,,,
288,11.307214,11.2841215,1.0035424,1.0071512,,,,,,
289,11.264607,11.284431,0.9713466,1.0092757,,,,,,
290,11.25944,11.284798,1.0227808,1.0067493,,,,,,
291,11.271741,11.284693,1.0571427,1.0066553,,,,,,
292,11.284479,11.285651,1.035541,1.0079453,,,,,,
293,11.317554,11.286505,1.0418649,1.0084771,,,,,,
294,11.346765,11.286746,1.0736618,1.0108836,,,,,,
295,11.37521,11.287546,1.1776427,1.0088344,,,,,,
296,11.429864,11.2884245,1.1374564,1.0117716,,,,,,
297,11.463412,11.288218,1.1321362,1.0093092,,,,,,
298,11.450409,11.287229,1.0698067,1.0092703,,,,,,
299,11.42385,11.287474,1.0189729,1.0075355,,,,,,
300,11.399134,11.287841,1.0274558,1.0093285,,,,,,
301,11.394132,11.287529,1.0930215,1.0097628,,,,,,
302,11.424952,11.288139,1.174118,1.0090965,,,,,,
303,11.473136,11.288705,1.1340928,1.0081618,,,,,,
304,11.469945,11.289265,1.1040179,1.0088141,,,,,,
305,11.445895,11.29063,1.0583739,1.0076344,,,,,,
306,11.438363,11.291903,1.0335685,1.0053487,,,,,,
307,11.421323,11.292326,1.0308914,1.0067087,,,,,,
308,11.376984,11.292431,1.0072595,1.0076545,,,,,,
309,11.366744,11.292854,1.0524485,1.0063964,,,,,,
310,11.405395,11.293041,1.0825051,1.006742,,,,,,
311,11.430378,11.292746,1.0944972,1.0067914,,,,,,
312,11.429918,11.29309,1.0928775,1.0066564,,,,,,
313,11.431906,11.293064,1.069948,1.0056986,,,,,,
314,11.408097,11.292553,1.0405855,1.0055723,,,,,,
315,11.400837,11.292366,1.0456173,1.0033665,,,,,,
316,11.397915,11.291417,1.0277001,1.0038999,,,,,,
317,11.384557,11.2903185,1.0375005,1.0036309,,,,,,
318,11.403638,11.289983,1.1012589,1.0038172,,,,,,
319,11.42302,11.291144,1.0654339,1.0040514,,,,,,
320,11.42032,11.292045,1.0603406,1.0041547,,,,,,
321,11.420175,11.292792,1.0882536,1.0062265,,,,,,
322,11.44072,11.294339,1.075314,1.0060588,,,,,,
323,11.461381,11.29537,1.059935,1.0045669,,,,,,
324,11.451878,11.295652,1.0464909,1.0086217,,,,,,
325,11.43759,11.297202,1.0302231,1.0091624,,,,,,
326,11.431968,11.298178,1.0166157,1.0064061,,,,,,
327,11.409716,11.297768,1.0099158,1.005785,,,,,,
328,11.391401,11.298053,0.9895604,1.0061153,,,,,,
329,11.391444,11.298654,0.9934658,1.004981,,,,,,
330,11.40639,11.298557,1.030273,1.0061044,,,,,,
331,11.435236,11.298428,1.060483,1.0066096,,,,,,
332,11.479904,11.298261,1.0797299,1.0049198,,,,,,
333,11.5124,11.297938,1.0886369,1.0058603,,,,,,
334,11.514418,11.297774,1.0894364,1.0051435,,,,,,
335,11.520879,11.298392,1.1004382,1.0064198,,,,,,
336,11.525612,11.298585,1.0765293,1.0077562,,,,,,
337,11.497269,11.2978115,1.0732721,1.0078673,,,,,,
