time_index,loudness_zwtv_target,loudness_zwtv_pred,sharpness_din_tv_target,sharpness_din_tv_pred,roughness_dw_target,roughness_dw_pred,tnr_ecma_perseg_target,tnr_ecma_perseg_pred,sii_ansi_target,sii_ansi_pred
0,0.0033890775,-0.17488231,,-0.2169579,0.012618146,0.19163617,0.0,6.267493,0.0,0.1266769
1,1.4280682,0.43515894,,1.6465827,0.01787645,0.19310522,0.0,4.454102,,
2,4.572103,1.6605618,,1.4283837,0.040521234,0.19305536,,,,
3,7.914953,2.756806,,1.0447366,0.10448214,0.19357523,,,,
4,10.645561,3.594821,,0.8498938,0.069352694,0.19559602,,,,
5,12.330976,4.2270494,4.5039864,2.6945534,0.09611591,0.19593607,,,,
6,13.541121,4.711776,4.557047,2.4000907,0.10171082,0.1931682,,,,
7,15.123404,5.0921884,4.213525,2.208961,0.08051557,0.19570947,,,,
8,16.124947,5.4029536,3.7043617,2.078261,0.020820536,0.19292587,,,,
9,16.573915,5.6633368,3.6736543,1.9834211,,,,,,
10,17.201982,5.887056,3.539948,1.9017295,,,,,,
11,17.92492,6.083726,3.5668542,1.8385589,,,,,,
12,18.1778,6.258246,3.227779,1.7846608,,,,,,
13,18.378428,6.419029,3.2392707,1.7359653,,,,,,
14,18.78141,6.565727,3.3095005,1.6900597,,,,,,
15,19.47291,6.703556,3.1890142,1.6505641,,,,,,
16,19.841003,6.832853,2.997978,1.6141219,,,,,,
17,19.833628,6.9560585,3.0460348,1.5827757,,,,,,
18,20.017004,7.0735683,3.0579288,1.5517662,,,,,,
19,19.932905,7.1870875,2.7280369,1.5244542,,,,,,
20,20.098103,7.293796,2.971279,1.4973097,,,,,,
21,20.795517,7.3981085,2.848842,1.4783307,,,,,,
22,20.89521,7.4970694,2.6557803,1.4563934,,,,,,
23,21.175108,7.594172,2.7592506,1.4324402,,,,,,
24,21.637018,7.686069,2.8424118,1.4142514,,,,,,
25,22.116772,7.7760344,2.7657318,1.3967488,,,,,,
26,22.498014,7.862778,2.7229128,1.3784493,,,,,,
27,22.71053,7.9490385,2.704388,1.3624578,,,,,,
28,23.087088,8.033006,2.5758302,1.3492724,,,,,,
29,23.115623,8.11517,2.4615343,1.3347113,,,,,,
30,23.419027,8.195383,2.670495,1.3205934,,,,,,
31,24.384018,8.273895,2.8608346,1.3043033,,,,,,
32,24.965387,8.349181,2.6464102,1.2908882,,,,,,
33,24.985456,8.422035,2.4693666,1.2759659,,,,,,
34,24.621202,8.494727,2.3061204,1.2674379,,,,,,
35,24.158844,8.566003,2.2572176,1.2559043,,,,,,
36,24.170675,8.633726,2.368868,1.243962,,,,,,
37,24.603996,8.699522,2.3869207,1.2293494,,,,,,
38,25.007166,8.762792,2.5394084,1.2178473,,,,,,
39,25.386354,8.821555,2.436488,1.2073452,,,,,,
40,25.42567,8.878376,2.3126504,1.1996173,,,,,,
41,25.61956,8.935132,2.2751555,1.1909301,,,,,,
42,25.748917,8.991025,2.2998447,1.1833272,,,,,,
43,25.96378,9.043835,2.29286,1.173411,,,,,,
44,25.765812,9.097635,2.197339,1.1665498,,,,,,
45,25.244732,9.148883,2.1907983,1.1597432,,,,,,
46,25.246483,9.198893,2.3705826,1.1532354,,,,,,
47,25.580717,9.247418,2.3521867,1.1472846,,,,,,
