time_index,loudness_zwtv_target,loudness_zwtv_pred,sharpness_din_tv_target,sharpness_din_tv_pred,roughness_dw_target,roughness_dw_pred,tnr_ecma_perseg_target,tnr_ecma_perseg_pred,sii_ansi_target,sii_ansi_pred
0,0.0033890775,18.935562,,0.65938616,0.012618146,0.044198386,0.0,0.82019377,0.0,0.021996155
1,1.4280682,20.119753,,2.549577,0.01787645,0.045863874,0.0,-0.8247795,,
2,4.572103,21.187042,,2.3246891,0.040521234,0.045983724,,,,
3,7.914953,22.325308,,1.9427156,0.10448214,0.04843095,,,,
4,10.645561,23.364536,,1.7562461,0.069352694,0.04903467,,,,
5,12.330976,24.227354,4.5039864,3.611878,0.09611591,0.05017247,,,,
6,13.541121,24.969822,4.557047,3.3274744,0.10171082,0.0473656,,,,
7,15.123404,25.33519,4.213525,3.1353364,0.08051557,0.049900174,,,,
8,16.124947,25.798206,3.7043617,3.0111377,0.020820536,0.045429915,,,,
9,16.573915,26.386724,3.6736543,2.9296303,,,,,,
10,17.201982,26.257774,3.539948,2.8335924,,,,,,
11,17.92492,26.683813,3.5668542,2.7796373,,,,,,
12,18.1778,26.118263,3.227779,2.6947665,,,,,,
13,18.378428,26.663507,3.2392707,2.6622572,,,,,,
14,18.78141,26.107008,3.3095005,2.5871065,,,,,,
15,19.47291,26.15147,3.1890142,2.5441687,,,,,,
16,19.841003,25.992165,2.997978,2.4952455,,,,,,
17,19.833628,26.4763,3.0460348,2.4788687,,,,,,
18,20.017004,26.67446,3.0579288,2.4514618,,,,,,
19,19.932905,27.163197,2.7280369,2.4399989,,,,,,
20,20.098103,27.13384,2.971279,2.406775,,,,,,
21,20.795517,27.704994,2.848842,2.4073381,,,,,,
22,20.89521,27.73809,2.6557803,2.382808,,,,,,
23,21.175108,27.918018,2.7592506,2.3620744,,,,,,
24,21.637018,27.875961,2.8424118,2.338379,,,,,,
25,22.116772,27.904736,2.7657318,2.3178558,,,,,,
26,22.498014,27.587214,2.7229128,2.2832224,,,,,,
27,22.71053,27.50628,2.704388,2.260363,,,,,,
28,23.087088,27.63715,2.5758302,2.2487361,,,,,,
29,23.115623,27.721272,2.4615343,2.2343013,,,,,,
30,23.419027,27.820139,2.670495,2.2205687,,,,,,
31,24.384018,28.068974,2.8608346,2.211926,,,,,,
32,24.965387,28.166786,2.6464102,2.1996315,,,,,,
33,24.985456,28.160511,2.4693666,2.181327,,,,,,
34,24.621202,28.749573,2.3061204,2.1942267,,,,,,
35,24.158844,29.098389,2.2572176,2.1942568,,,,,,
36,24.170675,28.683712,2.368868,2.1619992,,,,,,
37,24.603996,28.729374,2.3869207,2.1470928,,,,,,
38,25.007166,29.129337,2.5394084,2.149479,,,,,,
39,25.386354,28.894417,2.436488,2.1266162,,,,,,
40,25.42567,28.691362,2.3126504,2.1081374,,,,,,
41,25.61956,29.055319,2.2751555,2.1120281,,,,,,
42,25.748917,29.37685,2.2998447,2.1156662,,,,,,
43,25.96378,28.52262,2.29286,2.0678682,,,,,,
44,25.765812,28.974852,2.197339,2.0773342,,,,,,
45,25.244732,28.997875,2.1907983,2.0699186,,,,,,
46,25.246483,28.71329,2.3705826,2.049504,,,,,,
47,25.580717,28.948532,2.3521867,2.050872,,,,,,
48,25.749186,29.359655,2.2467072,2.059983,,,,,,
49,26.057829,28.68507,2.3154504,2.023979,,,,,,
50,26.51019,29.155819,2.2961755,2.038125,,,,,,
51,26.642097,29.385979,2.2427247,2.0438566,,,,,,
52,26.914877,29.669504,2.2363176,2.0468457,,,,,,
53,27.021852,30.124268,2.116295,2.060001,,,,,,
54,27.08898,29.966461,2.119246,2.046208,,,,,,
55,27.497475,30.057007,2.2242727,2.041253,,,,,,
56,27.91822,29.887493,2.0593235,2.0271473,,,,,,
57,28.07876,29.744755,2.194075,2.0163107,,,,,,
58,28.294674,29.435654,2.118761,1.9941852,,,,,,
59,28.25771,29.824152,2.0134423,2.00362,,,,,,
60,27.909334,29.941078,1.9768984,2.0049942,,,,,,
61,27.737488,29.58358,2.0877147,1.9836481,,,,,,
62,27.967787,29.75624,2.2040908,1.9849846,,,,,,
63,28.584972,29.840687,2.1953015,1.9828122,,,,,,
64,28.652775,29.587269,2.0731578,1.9674486,,,,,,
65,28.594526,30.05311,2.0886774,1.9865246,,,,,,
66,28.66631,30.090992,2.2088075,1.9834208,,,,,,
67,28.817862,29.935345,2.0775561,1.9663367,,,,,,
68,28.489748,30.356709,2.0031283,1.9800544,,,,,,
69,28.461143,30.31426,2.1224816,1.9720473,,,,,,
70,28.462904,29.789227,2.1546404,1.9459462,,,,,,
71,28.321762,29.551838,2.0421784,1.9322107,,,,,,
72,28.234127,29.54914,2.0044663,1.9287851,,,,,,
73,28.418402,29.644518,2.143089,1.9279506,,,,,,
74,28.744505,29.3232,2.0745964,1.9086456,,,,,,
75,28.735792,29.524763,1.9838306,1.9164679,,,,,,
76,28.524601,29.844288,2.0257125,1.92659,,,,,,
77,28.526287,29.857304,1.9854921,1.922364,,,,,,
78,28.752068,30.882565,2.1247096,1.9640281,,,,,,
79,29.235632,30.3787,2.1281903,1.9390719,,,,,,
80,29.317646,30.459341,2.009594,1.9383924,,,,,,
81,29.14425,30.576836,1.9828221,1.9403468,,,,,,
82,29.051748,30.439642,1.9121535,1.9331347,,,,,,
83,28.55115,30.507381,1.8702883,1.9318349,,,,,,
84,28.160683,30.420887,1.9390416,1.9270506,,,,,,
85,28.467348,30.514954,2.0254507,1.9278679,,,,,,
86,29.144398,30.424212,2.114797,1.9246671,,,,,,
87,29.319824,30.5853,1.9793248,1.9276658,,,,,,
88,29.325045,30.548798,1.9309889,1.924046,,,,,,
89,29.567976,30.460894,1.8949596,1.9161701,,,,,,
90,29.683104,30.183422,1.9898113,1.9024565,,,,,,
91,29.741604,30.087687,2.0795374,1.8951924,,,,,,
92,29.769665,30.215618,1.9104872,1.8975182,,,,,,
