time_index,loudness_zwtv,sharpness_din_tv,roughness_dw,tnr_ecma_perseg,sii_ansi
0,7.843617e-05,0.0,0.27283877,3.3961055,0.16877127
1,0.1312456,6.9979124,,,
2,0.51522684,3.0816689,,,
3,1.0682509,2.3812642,,,
4,1.6523175,2.394564,,,
5,2.1136456,2.1041694,,,
6,2.4865708,1.8512537,,,
7,2.802138,1.761799,,,
8,3.0710073,1.6344272,,,
9,3.2866454,1.4706874,,,
10,3.5270307,1.3996581,,,
11,3.804639,1.5846604,,,
12,4.0411644,1.6847659,,,
13,4.222073,1.5493729,,,
14,4.3864822,1.4770489,,,
15,4.5566764,1.4056128,,,
16,4.7188416,1.3779049,,,
17,4.8517146,1.325134,,,
18,4.9361124,1.2631872,,,
19,5.001604,1.1967694,,,
20,5.0431843,1.2058866,,,
21,5.092946,1.380071,,,
22,5.188987,1.5803736,,,
23,5.3282394,1.4015803,,,
24,5.479473,1.3634847,,,
25,5.659575,1.3310262,,,
26,5.8153176,1.2654444,,,
27,5.960997,1.2823923,,,
28,6.0962515,1.2999485,,,
29,6.2252197,1.3500757,,,
30,6.3838096,1.2762679,,,
31,6.521287,1.1909597,,,
32,6.6123056,1.1453075,,,
33,6.6868186,1.1326803,,,
34,6.7784877,1.1238973,,,
35,6.8606944,1.1194195,,,
36,6.948087,1.4457017,,,
37,7.0554943,1.3541852,,,
38,7.1695547,1.4926438,,,
39,7.3512135,1.3077863,,,
40,7.547826,1.2320076,,,
41,7.739908,1.1911796,,,
42,7.9116592,1.1872162,,,
43,8.06408,1.1143365,,,
44,8.169352,1.0741864,,,
45,8.242855,1.0566124,,,
46,8.308933,1.043599,,,
47,8.389038,1.0545222,,,
48,8.47076,1.0479802,,,
49,8.534326,1.0334374,,,
50,8.56519,0.9971033,0.14300387,,
51,8.600166,0.9863824,,,
52,8.664266,1.0078977,,,
53,8.746294,1.0029365,,,
54,8.77919,0.97129077,,,
55,8.793754,0.95632154,,,
56,8.818045,0.96250796,,,
57,8.844183,0.9520438,,,
58,8.864347,0.93555576,,,
59,8.912455,0.93332165,,,
60,8.973234,0.9561784,,,
61,9.028367,0.92116946,,,
62,9.057536,0.9146129,,,
63,9.090565,0.92033523,,,
64,9.112903,0.91414016,,,
65,9.173278,3.532982,,,
66,9.325045,1.7847617,,,
67,9.481292,2.4507172,,,
68,9.767197,1.4910946,,,
69,10.065231,1.2912536,,,
70,10.290935,1.1522831,,,
71,10.43857,1.110542,,,
72,10.544943,1.1070396,,,
73,10.647716,1.0839015,,,
74,10.738535,1.0744174,,,
75,10.811254,1.0545216,,,
76,10.857241,1.0347993,,,
77,10.93028,1.0976591,,,
78,11.011031,1.0588692,,,
79,11.053282,1.1153976,,,
80,11.059893,1.1696872,,,
81,11.092889,1.2318008,,,
82,11.132966,1.2186663,,,
83,11.167725,1.3180828,,,
84,11.186995,1.2940458,,,
85,11.222963,1.3079755,,,
86,11.268369,1.2993894,,,
87,11.330259,1.2911996,,,
88,11.368143,1.2317001,,,
89,11.381249,1.2190405,,,
90,11.442757,1.295533,,,
91,11.48174,1.3382456,,,
92,11.506455,1.2494853,,,
93,11.540314,1.2631426,,,
94,11.592755,1.2359931,,,
95,11.623467,1.1752731,,,
96,11.618059,1.1620672,,,
97,11.617861,1.1677938,,,
98,11.616644,1.1856936,,,
99,11.604862,1.2054688,,,
100,11.626018,1.2112553,0.071026765,,
101,11.652383,1.1894659,,,
102,11.67727,1.418486,,,
103,11.698378,1.3026245,,,
104,11.718054,1.2788186,,,
105,11.732094,1.3335204,,,
106,11.803032,1.4696707,,,
107,11.880949,1.266842,,,
108,11.9352045,1.2435049,,,
109,11.988885,1.2961712,,,
110,12.041135,1.2292699,,,
111,12.077316,1.2101904,,,
112,12.153554,1.2062014,,,
113,12.248703,1.1646086,,,
114,12.325507,1.1554266,,,
115,12.351153,1.128791,,,
116,12.357792,1.098146,,,
117,12.360651,1.0839211,,,
118,12.362744,1.0780787,,,
119,12.370515,1.0786929,,,
120,12.36979,1.0730933,,,
121,12.368088,1.0654627,,,
122,12.376829,1.0803562,,,
123,12.447775,1.248615,,,
124,12.58394,1.2000353,,,
125,12.716413,1.2065477,,,
126,12.836974,1.2328581,,,
127,12.948676,1.1964487,,,
128,13.079701,1.1822551,,,
129,13.233117,1.2473572,,,
130,13.321857,1.1789881,,,
131,13.375466,1.1512263,,,
132,13.43319,1.1089755,,,
133,13.4454565,1.0841826,,,
134,13.433522,1.0533913,,,
135,13.432876,1.0633149,,,
136,13.465529,1.0622647,,,
137,13.496479,1.0521989,,,
138,13.508711,1.0673286,,,
139,13.514013,1.0767164,,,
140,13.52876,1.0787542,,,
141,13.5163765,1.0972837,,,
142,13.5022,1.0870465,,,
143,13.487136,1.0916053,,,
144,13.508347,1.0863745,,,
145,13.560395,1.0614475,,,
146,13.549445,1.053448,,,
147,13.504047,1.0290573,,,
148,13.445947,1.0041589,,,
149,13.424807,1.0158504,,,
150,13.433232,1.0145532,0.22598132,,
151,13.440641,1.0131478,,,
152,13.422055,0.98763824,,,
153,13.369941,0.96478426,,,
154,13.31881,0.9808572,,,
155,13.307864,1.0058788,,,
156,13.306567,1.0123186,,,
157,13.296667,0.9933694,,,
158,13.295085,0.9856859,,,
