time_index,loudness_zwtv,sharpness_din_tv,roughness_dw,tnr_ecma_perseg,sii_ansi
0,0.0,0.0,0.026079562,0.0,0.0057684034
1,0.0002212395,0.0,,,
2,0.001868813,0.0,,,
3,0.0021133374,0.0,,,
4,0.002439446,0.0,,,
5,0.0019646054,0.0,,,
6,0.0022506695,0.0,,,
7,0.0019595646,0.0,,,
8,0.0027681482,0.0,,,
9,0.004579114,0.0,,,
10,0.004017467,0.0,,,
11,0.003937576,0.0,,,
12,0.0038642872,0.0,,,
13,0.004088675,0.0,,,
14,0.0041828584,0.0,,,
15,0.004111861,0.0,,,
16,0.005120404,0.0,,,
17,0.006689909,0.0,,,
18,0.009751117,0.0,,,
19,0.013745775,0.0,,,
20,0.01901256,0.0,,,
21,0.05534949,0.0,,,
22,0.1688314,0.98425376,,,
23,0.17538895,0.9406221,,,
24,0.17874408,0.9996651,,,
25,0.18079346,0.96377814,,,
26,0.18417078,0.95689046,,,
27,0.19096783,1.0660477,,,
28,0.20449147,1.0381039,,,
29,0.2191923,0.9557174,,,
30,0.23474997,0.86255354,,,
31,0.2429519,0.8409124,,,
32,0.24901807,0.8393532,,,
33,0.25801358,0.8054975,,,
34,0.2642183,0.78837126,,,
35,0.27673054,0.79606646,,,
36,0.30264974,0.9499808,,,
37,0.49334487,0.94434917,,,
38,0.54315645,0.94817907,,,
39,0.5405189,0.93666345,,,
40,0.5395689,0.9146313,,,
41,0.5434232,0.9114027,,,
42,0.54898083,0.90144515,,,
43,0.54946744,0.9025329,,,
44,0.5676757,0.8899889,,,
45,0.5759138,0.8925785,,,
46,0.57683253,0.91748583,,,
47,0.5735782,0.9277238,,,
48,0.5787859,0.93330014,,,
49,0.5996204,0.9058343,,,
50,0.6075729,0.8781414,0.03487908,,
51,0.60876393,0.84465945,,,
52,0.6055471,0.83934784,,,
53,0.61709416,0.84489864,,,
54,0.63498735,0.84523535,,,
55,0.6494679,0.817757,,,
56,0.65989816,0.80977285,,,
57,0.66667247,0.82941693,,,
58,0.68150604,0.82588226,,,
59,0.68092453,0.8069595,,,
60,0.69479424,0.80948293,,,
61,0.70166904,0.8168476,,,
62,0.7057024,0.8288687,,,
63,0.72517264,0.8010843,,,
64,0.72714525,0.7987664,,,
65,0.7389884,0.97653514,,,
66,1.7726419,1.025567,,,
67,2.6449227,1.0616186,,,
68,4.261058,1.0382154,,,
69,5.607339,1.0300303,,,
70,5.712688,1.0122879,,,
71,5.724346,1.0070431,,,
72,5.7377067,1.0026981,,,
73,5.8386602,0.98820376,,,
74,5.954352,0.9819255,,,
75,6.080654,0.95277256,,,
76,6.1695356,0.97206485,,,
77,6.23178,0.9692898,,,
78,6.44895,0.9838659,,,
79,6.4160633,0.9970809,,,
80,6.3720255,0.9707418,,,
81,6.4376965,0.9775634,,,
82,6.4807425,0.97297513,,,
83,6.473142,1.0126743,,,
84,6.425228,0.9721685,,,
85,6.3689604,0.9784732,,,
86,6.3559327,0.98014957,,,
87,6.394732,0.9660354,,,
88,6.4509377,0.97343516,,,
89,6.485833,0.9663271,,,
90,6.481142,1.0473564,,,
91,6.4262447,1.0590866,,,
92,6.4147077,1.0633714,,,
93,6.4334297,1.0637023,,,
94,6.490304,1.0386685,,,
95,6.5457253,1.0124104,,,
96,6.5444107,1.0186784,,,
97,6.4629183,1.0306721,,,
98,6.3109665,1.0415175,,,
99,6.131858,1.0062091,,,
100,6.003189,1.0536819,0.04174307,,
101,5.9495115,1.0311195,,,
102,5.9364986,1.0518275,,,
103,5.9079285,1.0553328,,,
104,5.8411336,1.082838,,,
105,5.758787,1.0447237,,,
106,5.69923,1.0628409,,,
107,6.189515,1.0327909,,,
108,6.3696256,1.0490494,,,
109,7.4738317,1.0120546,,,
110,8.307833,1.0016344,,,
111,8.288889,0.98757434,,,
112,8.518793,0.98855335,,,
113,8.566605,0.9864011,,,
114,8.589087,0.9747734,,,
115,8.701907,0.9594523,,,
116,8.846073,0.97059023,,,
117,8.955993,0.94501334,,,
118,9.1843,0.9499201,,,
119,9.308353,0.9578849,,,
120,9.428768,0.9582575,,,
121,9.550801,0.9682551,,,
122,9.500888,0.9746174,,,
123,9.455437,0.9832607,,,
124,10.413496,0.9920585,,,
125,10.421621,0.98278356,,,
126,10.903077,0.97060716,,,
127,10.930949,0.98401594,,,
128,10.968422,1.0068599,,,
129,11.072666,1.0010542,,,
130,11.170883,1.0248113,,,
131,11.132063,1.0007381,,,
132,11.071519,0.99719155,,,
133,11.091047,0.99581546,,,
134,11.239243,0.9478487,,,
135,11.323116,1.0295715,,,
136,11.4565525,1.0148611,,,
137,11.568205,0.9881911,,,
138,11.583286,1.0301721,,,
139,11.523488,0.99970317,,,
140,11.425915,0.95443386,,,
141,11.278148,0.97569007,,,
142,11.114522,0.9737973,,,
143,10.972544,0.97634286,,,
144,10.8041935,0.97218215,,,
145,10.650295,0.977239,,,
146,10.497215,0.97199774,,,
147,10.3359165,0.9414536,,,
148,10.195297,0.9130211,,,
149,10.013193,0.96173406,,,
150,9.825203,0.927178,0.05231069,,
151,9.702254,0.94262516,,,
152,9.895132,0.92559904,,,
153,10.228582,0.9246018,,,
154,10.570661,0.9001782,,,
155,10.94223,0.87490344,,,
156,11.060664,0.90757936,,,
157,11.139474,0.927258,,,
158,11.477913,0.95485914,,,
159,12.062169,0.9533725,,,
160,12.538129,0.9379329,,,
161,12.721212,0.94832706,,,
162,12.738138,0.93053687,,,
163,12.718745,0.96166193,,,
164,12.625055,0.95812154,,,
165,12.401936,0.95052695,,,
166,12.245607,0.97233737,,,
167,12.005569,0.94466573,,,
168,11.922016,0.96844137,,,
169,11.893686,0.95552576,,,
170,11.800514,0.96257925,,,
171,11.708961,0.97141343,,,
172,11.701799,0.9583771,,,
173,11.699253,0.9794029,,,
174,11.600334,0.9792948,,,
175,11.541493,0.98110414,,,
176,11.449288,0.98738796,,,
177,11.338299,0.9790106,,,
178,11.249471,1.0050542,,,
179,11.268499,1.0003918,,,
180,11.295683,0.9757168,,,
181,11.329662,0.9672495,,,
182,11.309307,1.0072577,,,
183,11.274153,0.9948843,,,
184,11.511009,0.99795175,,,
185,11.630547,1.0045323,,,
186,11.516971,1.0024768,,,
187,11.484741,0.9948609,,,
188,11.767151,0.9992809,,,
189,12.137354,1.0328131,,,
190,12.236401,1.0298154,,,
191,12.239792,1.025079,,,
192,12.238941,1.0541062,,,
193,12.269189,1.0524788,,,
194,12.383237,1.0261796,,,
195,12.583759,1.0178521,,,
196,12.794843,1.0343101,,,
197,12.957151,1.0209062,,,
198,13.364584,1.0490539,,,
199,13.927044,1.043005,,,
200,13.839918,1.0573337,0.052372463,,
201,14.045714,1.0371203,,,
202,13.899688,1.0095801,,,
203,14.45422,1.0413985,,,
204,14.437869,1.0367147,,,
205,14.426131,1.0509859,,,
206,14.429344,1.0488412,,,
207,14.223902,1.0523331,,,
208,14.083635,1.0540512,,,
209,14.037906,1.0490857,,,
210,14.336215,1.0444385,,,
211,14.467147,1.0295709,,,
212,14.335154,1.0385703,,,
213,14.003562,1.0407262,,,
214,13.793528,1.0233217,,,
215,13.553436,1.0138552,,,
216,13.33079,0.99552387,,,
217,13.13696,1.0102724,,,
218,12.99371,0.95905066,,,
219,12.812245,0.9909565,,,
220,12.647478,0.97990733,,,
221,12.59113,0.9927101,,,
222,12.630878,0.9894215,,,
223,12.6503525,1.0027624,,,
224,12.653667,0.9612344,,,
225,12.681738,0.97363424,,,
226,12.646006,0.9722332,,,
227,12.547614,1.005101,,,
228,12.423067,1.0281276,,,
229,12.312763,1.0014181,,,
230,12.235488,1.0169258,,,
231,12.169046,1.0113009,,,
232,12.120338,0.9786856,,,
233,12.085801,0.99286854,,,
234,12.153152,0.9784868,,,
235,12.203602,0.98078376,,,
236,12.094805,1.0108585,,,
237,12.025011,1.0212967,,,
238,12.003712,1.0412483,,,
239,12.029648,1.0279617,,,
240,12.046833,1.0271647,,,
241,12.098038,1.0560825,,,
242,12.133324,1.0696812,,,
243,12.252083,1.0535094,,,
244,12.252994,1.0119692,,,
245,12.180975,1.0313389,,,
246,12.107498,1.0434436,,,
247,12.151345,0.9977602,,,
248,12.165097,1.0083026,,,
249,12.218896,1.0332861,,,
250,12.683895,1.0473137,0.04378297,0.0,
251,13.285891,1.0293387,,,
252,14.345426,1.0386915,,,
253,14.730982,1.0881249,,,
254,14.729229,1.0712923,,,
255,14.820384,1.0848688,,,
256,14.968653,1.0941762,,,
257,14.978968,1.0999377,,,
258,14.93598,1.1241274,,,
259,14.93763,1.1272049,,,
260,14.964084,1.1757579,,,
261,15.130434,1.2248527,,,
262,15.179396,1.2189175,,,
263,15.127562,1.2113566,,,
264,14.93338,1.2191194,,,
265,14.866569,1.1974002,,,
266,14.9099655,1.1921444,,,
267,14.888888,1.1707168,,,
268,14.93302,1.1400926,,,
269,14.876423,1.1442769,,,
270,14.799402,1.1276063,,,
271,15.531698,1.1503208,,,
272,16.641361,1.1220627,,,
273,16.845388,1.0959679,,,
274,16.782003,1.1127378,,,
275,16.516594,1.0592493,,,
276,16.27858,1.1304352,,,
277,16.00998,1.1244802,,,
278,15.881782,1.143723,,,
279,15.806395,1.1094193,,,
280,15.975807,1.1271803,,,
281,16.22272,1.1490076,,,
282,16.18626,1.1539555,,,
283,16.078175,1.111789,,,
284,15.981702,1.074292,,,
285,15.980644,1.0707393,,,
286,15.981852,1.0671817,,,
287,16.111765,1.0533435,,,
288,16.172724,1.0366198,,,
289,16.057884,1.0357296,,,
290,16.030598,1.0398955,,,
291,16.024927,1.0353273,,,
292,16.026896,1.0384015,,,
293,15.968395,1.0314541,,,
294,15.94893,1.0203695,,,
295,15.962536,0.9998585,,,
296,15.943563,0.9806357,,,
297,15.978248,0.97668386,,,
298,15.978987,0.9819449,,,
299,15.878939,1.0021144,,,
300,15.798916,0.9627155,0.047463976,,
301,15.714525,0.9867276,,,
302,15.747333,0.9932489,,,
303,15.802977,0.9694375,,,
304,15.805838,1.0438011,,,
305,15.819612,1.0557331,,,
306,16.228302,1.0576847,,,
307,16.877987,1.1355739,,,
308,16.885094,1.1930542,,,
309,17.52871,1.2099907,,,
310,18.055683,1.2244563,,,
311,18.016422,1.3041999,,,
312,18.022585,1.4008906,,,
313,18.12771,1.3030643,,,
314,18.114363,1.3046718,,,
315,18.10441,1.2825491,,,
316,18.04603,1.2325315,,,
317,17.846611,1.1921593,,,
318,17.74254,1.1972766,,,
319,17.755314,1.2724807,,,
320,17.746822,1.2285614,,,
321,17.752975,1.2303832,,,
322,17.82883,1.2186685,,,
323,17.748829,1.1513433,,,
324,17.728474,1.1333508,,,
325,17.683083,1.1767263,,,
326,17.619518,1.1756082,,,
327,17.554207,1.2350873,,,
328,17.497875,1.2333283,,,
329,17.48413,1.1958077,,,
330,17.68457,1.2052116,,,
331,18.061543,1.1531961,,,
332,18.522923,1.1444838,,,
333,18.658588,1.1669381,,,
334,18.825739,1.1465876,,,
335,18.912855,1.1739757,,,
336,19.064507,1.2139217,,,
337,18.955982,1.1813669,,,
338,18.78635,1.1557089,,,
339,18.536053,1.2851908,,,
340,18.461971,1.2464987,,,
341,18.405386,1.2161154,,,
342,18.315022,1.1634023,,,
343,18.175756,1.1724064,,,
344,18.071522,1.2353449,,,
345,17.978115,1.2627751,,,
346,17.836067,1.2699385,,,
347,17.797997,1.2508056,,,
348,17.831005,1.2616978,,,
349,18.196852,1.2893124,,,
