device,n_head_stages,head_width,params,params_M,memory_MiB,vram_GiB,vram_limit_mib,min,max,median,mean,std,dnf_reason,dnf_message
AMD Radeon RX 7800 XT,0,2,468408,0.468408,1.7885894775390625,0.0,16384.0,3.4357999975327402,3.711299999849871,3.5669499957293738,3.5646099982841406,0.10807883588620218,,
AMD Radeon RX 7800 XT,1,2,468458,0.468458,1.7888946533203125,0.0,16384.0,3.5001999931409955,3.808599998592399,3.7309000035747886,3.7110999997821636,0.0953503234617194,,
AMD Radeon RX 7800 XT,2,2,468508,0.468508,1.7891998291015625,0.0,16384.0,3.658900001028087,4.174499998043757,3.782399999181507,3.820129999803612,0.14300087383785218,,
AMD Radeon RX 7800 XT,4,2,468608,0.468608,1.7898101806640625,0.0,16384.0,3.592599998228252,3.9791000017430633,3.6792499995499384,3.7288199993781745,0.1274245489967009,,
AMD Radeon RX 7800 XT,8,2,468808,0.468808,1.7910308837890625,0.0,16384.0,3.683300004922785,4.168200001004152,3.904799999872921,3.9147300012700725,0.1629689104308653,,
AMD Radeon RX 7800 XT,16,2,469208,0.469208,1.7934722900390625,0.0,16384.0,4.999800003133714,5.773800003225915,5.15475000065635,5.289620000985451,0.27407358109024854,,
AMD Radeon RX 7800 XT,32,2,470008,0.470008,1.7983551025390625,0.0,16384.0,9.530700001050718,10.662499997124542,9.652299995650537,9.826330000942107,0.3273255841772789,,
AMD Radeon RX 7800 XT,64,2,471608,0.471608,1.8081207275390625,0.0,16384.0,20.17119999800343,22.25660000112839,20.55024999572197,20.716689998516813,0.5595110097698595,,
AMD Radeon RX 7800 XT,128,2,474808,0.474808,1.8276519775390625,0.0,16384.0,50.97999999998137,57.19600000156788,52.39964999782387,52.60482000085176,1.7428948409650045,,
AMD Radeon RX 7800 XT,256,2,481208,0.481208,1.8667144775390625,0.0,16384.0,139.92120000330033,145.28660000360105,140.3741499998432,141.17816000070889,1.6614057365444834,,
AMD Radeon RX 7800 XT,512,2,494008,0.494008,1.9448394775390625,0.0,16384.0,479.23979999904986,487.892400000419,482.8783500015561,483.3646099999896,2.7947246705868394,,
AMD Radeon RX 7800 XT,1024,2,519608,0.519608,2.1010894775390625,,16384.0,,,,,,time,run took 1807.11 ms (> 1000 ms)
AMD Radeon RX 7800 XT,2048,2,570808,0.570808,2.4135894775390625,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,4096,2,673208,0.673208,3.0385894775390625,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,8192,2,878008,0.878008,4.2885894775390625,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,16384,2,1287608,1.287608,6.7885894775390625,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,32768,2,2106808,2.106808,11.788589477539062,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,65536,2,3745208,3.745208,21.788589477539062,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,131072,2,7022008,7.022008,41.78858947753906,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
