device,n_head_stages,head_width,params,params_M,memory_MiB,vram_GiB,vram_limit_mib,min,max,median,mean,std,dnf_reason,dnf_message
AMD Radeon(TM) Graphics,0,2,468408,0.468408,1.7885894775390625,0.0,512.0,96.77999999985332,96.98729999945499,96.8533999985084,96.85415999920224,0.057547862375560435,,
AMD Radeon(TM) Graphics,1,2,468458,0.468458,1.7888946533203125,0.0,512.0,96.8323999986751,97.06929999811109,96.97569999843836,96.95392999856267,0.06186884658550991,,
AMD Radeon(TM) Graphics,2,2,468508,0.468508,1.7891998291015625,0.0,512.0,96.90640000189887,97.17970000201603,97.02879999895231,97.02624999918044,0.08382463015687158,,
AMD Radeon(TM) Graphics,4,2,468608,0.468608,1.7898101806640625,0.0,512.0,97.03530000115279,97.26909999881173,97.1578499993484,97.16324000110035,0.06681221723254308,,
AMD Radeon(TM) Graphics,8,2,468808,0.468808,1.7910308837890625,0.0,512.0,97.30819999822415,97.5823999979184,97.49115000522579,97.47566000005463,0.08631681429916424,,
AMD Radeon(TM) Graphics,16,2,469208,0.469208,1.7934722900390625,0.0,512.0,98.05449999839766,98.28589999960968,98.18259999883594,98.16640999852098,0.07309476709290046,,
AMD Radeon(TM) Graphics,32,2,470008,0.470008,1.7983551025390625,0.0,512.0,99.28349999972852,99.55790000094566,99.42954999860376,99.41557000056491,0.07860402168433855,,
AMD Radeon(TM) Graphics,64,2,471608,0.471608,1.8081207275390625,0.0,512.0,101.89920000266284,102.24860000016633,101.99079999802052,102.0197099991492,0.11673031682586592,,
AMD Radeon(TM) Graphics,128,2,474808,0.474808,1.8276519775390625,0.0,512.0,107.09820000192849,107.35399999975925,107.19629999948665,107.22276000014972,0.09149069949115383,,
AMD Radeon(TM) Graphics,256,2,481208,0.481208,1.8667144775390625,0.0,512.0,159.1679999983171,163.03699999843957,161.3203999986581,161.34186999915983,1.2859614559667416,,
AMD Radeon(TM) Graphics,512,2,494008,0.494008,1.9448394775390625,0.0,512.0,515.7853000055184,527.5096000041231,524.7748000001593,522.9112400018494,4.229256429600722,,
AMD Radeon(TM) Graphics,1024,2,519608,0.519608,2.1010894775390625,,512.0,,,,,,time,run took 1858.11 ms (> 1000 ms)
AMD Radeon(TM) Graphics,2048,2,570808,0.570808,2.4135894775390625,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,4096,2,673208,0.673208,3.0385894775390625,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,8192,2,878008,0.878008,4.2885894775390625,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,16384,2,1287608,1.287608,6.7885894775390625,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,32768,2,2106808,2.106808,11.788589477539062,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,65536,2,3745208,3.745208,21.788589477539062,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,131072,2,7022008,7.022008,41.78858947753906,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,262144,2,13575608,13.575608,81.78858947753906,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,524288,2,26682808,26.682808,161.78858947753906,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,1048576,2,52897208,52.897208,321.78858947753906,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,0,4,469248,0.469248,1.7918701171875,0.0,512.0,96.93650000554044,97.17120000277646,97.03280000030645,97.04087999998592,0.06687656893515835,,
