device,n_head_stages,head_width,params,params_M,memory_MiB,vram_GiB,vram_limit_mib,min,max,median,mean,std,dnf_reason,dnf_message
CPU,0,2,468408,0.468408,1.7885894775390625,0.0,32768.0,66.92720000137342,70.58549999783281,67.99194999985048,68.16300000064075,1.0953274807851447,,
CPU,1,2,468458,0.468458,1.7888946533203125,0.0,32768.0,67.0243999993545,74.7791000030702,68.29524999920977,68.7865600004443,2.2034988820420387,,
CPU,2,2,468508,0.468508,1.7891998291015625,0.0,32768.0,65.58790000417503,73.76449999719625,69.74399999671732,69.57208000021637,2.408767340636566,,
CPU,4,2,468608,0.468608,1.7898101806640625,0.0,32768.0,66.96709999960149,74.28090000030352,70.22964999850956,69.71974999978556,2.3779058401910533,,
CPU,8,2,468808,0.468808,1.7910308837890625,0.0,32768.0,67.17139999818755,73.34090000222204,69.31640000038897,69.34731000001193,1.693358446316866,,
CPU,16,2,469208,0.469208,1.7934722900390625,0.0,32768.0,67.64149999798974,73.88759999594186,70.20429999829503,70.48737000004621,1.7647563343264865,,
CPU,32,2,470008,0.470008,1.7983551025390625,0.0,32768.0,70.40439999400405,75.35839999763994,72.41199999771197,72.59595999857993,1.2081758279330088,,
CPU,64,2,471608,0.471608,1.8081207275390625,0.0,32768.0,75.01290000072913,82.12209999328479,78.54004999535391,78.49048999778461,2.3723320830177803,,
CPU,128,2,474808,0.474808,1.8276519775390625,0.0,32768.0,82.94829999795184,89.38130000024103,84.90410000013071,85.4862599997432,1.8880490507996954,,
CPU,256,2,481208,0.481208,1.8667144775390625,0.0,32768.0,100.09899999568006,107.33029999391874,105.76450000007753,105.06817999921623,2.2522862898417775,,
CPU,512,2,494008,0.494008,1.9448394775390625,0.0,32768.0,134.5759000032558,148.74769999732962,140.24035000329604,141.40090000000782,4.376389656563092,,
CPU,1024,2,519608,0.519608,2.1010894775390625,0.0,32768.0,206.06609999958891,219.00800000003073,211.760599999252,212.45321000023978,3.7567654559528116,,
CPU,2048,2,570808,0.570808,2.4135894775390625,0.0,32768.0,339.3571999986307,373.7937000041711,356.6571000010299,357.7306099999987,8.691349955135928,,
CPU,4096,2,673208,0.673208,3.0385894775390625,0.0,32768.0,622.1543999999994,665.6807000035769,643.9156000014918,644.7909900001832,12.609472940963752,,
CPU,8192,2,878008,0.878008,4.2885894775390625,,32768.0,,,,,,time,run took 1223.07 ms (> 1000 ms)
CPU,16384,2,1287608,1.287608,6.7885894775390625,,32768.0,,,,,,time,blocked: lower width failed at stages=8192 (time limit)
CPU,32768,2,2106808,2.106808,11.788589477539062,,32768.0,,,,,,time,blocked: lower width failed at stages=8192 (time limit)
CPU,65536,2,3745208,3.745208,21.788589477539062,,32768.0,,,,,,time,blocked: lower width failed at stages=8192 (time limit)
CPU,131072,2,7022008,7.022008,41.78858947753906,,32768.0,,,,,,time,blocked: lower width failed at stages=8192 (time limit)
CPU,262144,2,13575608,13.575608,81.78858947753906,,32768.0,,,,,,time,blocked: lower width failed at stages=8192 (time limit)
CPU,524288,2,26682808,26.682808,161.78858947753906,,32768.0,,,,,,time,blocked: lower width failed at stages=8192 (time limit)
CPU,1048576,2,52897208,52.897208,321.78858947753906,,32768.0,,,,,,time,blocked: lower width failed at stages=8192 (time limit)
CPU,0,4,469248,0.469248,1.7918701171875,0.0,32768.0,66.9183999998495,70.46550000086427,69.14994999897317,68.95974000144633,1.2575877367994726,,
CPU,1,4,469388,0.469388,1.7925949096679688,0.0,32768.0,65.09910000022501,70.9156000011717,67.70810000307392,67.82277000165777,1.5193079104996892,,
CPU,2,4,469528,0.469528,1.7933197021484375,0.0,32768.0,64.50220000260742,73.95009999891045,69.29200000013225,69.54870000045048,2.8165434075085796,,
CPU,4,4,469808,0.469808,1.794769287109375,0.0,32768.0,65.10400000115624,73.24209999933373,68.91724999877624,69.12219999867375,2.1381979630921744,,
CPU,8,4,470368,0.470368,1.79766845703125,0.0,32768.0,68.0512999970233,73.1071999980486,69.54480000058538,69.97269999992568,1.3360761102364962,,
CPU,16,4,471488,0.471488,1.803466796875,0.0,32768.0,67.7332999985083,73.13570000405889,70.44020000103046,70.56909999955678,1.5781474780492808,,
CPU,32,4,473728,0.473728,1.8150634765625,0.0,32768.0,69.64239999797428,75.9630999964429,73.86694999877363,73.42513999974472,2.068087541982433,,
CPU,64,4,478208,0.478208,1.8382568359375,0.0,32768.0,75.36509999772534,81.31739999953425,77.98689999617636,77.8163000002678,2.101473677998997,,
CPU,128,4,487168,0.487168,1.8846435546875,0.0,32768.0,84.07959999749437,95.55639999598498,88.85019999797805,88.79422999962117,3.821831915565924,,
CPU,256,4,505088,0.505088,1.9774169921875,0.0,32768.0,103.40079999878071,109.25130000396166,106.21199999877717,106.21329999994487,1.7902731286632554,,
CPU,512,4,540928,0.540928,2.1629638671875,0.0,32768.0,141.02319999801693,154.26619999925606,147.72079999602283,147.1432799982722,4.201383657748331,,
CPU,1024,4,612608,0.612608,2.5340576171875,0.0,32768.0,213.30159999342868,232.22650000388967,226.59779999958118,224.14371999984724,6.74424125227002,,
CPU,2048,4,755968,0.755968,3.2762451171875,0.0,32768.0,365.075199995772,400.18679999775486,383.093150001514,380.6980000001204,11.073130550268546,,
CPU,4096,4,1042688,1.042688,4.7606201171875,0.0,32768.0,667.3743999999715,771.538100001635,683.3334500006458,695.7133000003523,29.34714007002046,,
CPU,8192,4,1616128,1.616128,7.7293701171875,,32768.0,,,,,,time,blocked: lower width failed at stages=8192 (time limit)
